split,scope,decile,n,positive_rate,lift_vs_random
test,all_observed,1,519450,0.04457214361343729,4.078238870205064
test,all_observed,2,519449,0.019179938742783217,1.7549160836273814
test,all_observed,3,519450,0.012189816151698913,1.1153374735947164
test,all_observed,4,519449,0.00821832364678727,0.7519559129785499
test,all_observed,5,519450,0.006322071421696025,0.5784536107525345
test,all_observed,6,519449,0.004585628232993037,0.41957343282148174
test,all_observed,7,519450,0.003288093175474059,0.30085224335119637
test,all_observed,8,519449,0.005887007194161506,0.5386463297934893
test,all_observed,9,519450,0.0028260660313793435,0.2585779234423632
test,all_observed,10,519449,0.002223509911463878,0.20344555621696536
test,heldout_input_entries,1,103890,0.04424872461257099,4.048789479590927
test,heldout_input_entries,2,103890,0.019299258831456348,1.765895781287755
test,heldout_input_entries,3,103890,0.012166714794494177,1.1132629763330286
test,heldout_input_entries,4,103890,0.008143228414669362,0.7451111376406188
test,heldout_input_entries,5,103890,0.0065068822793339105,0.595384313292031
test,heldout_input_entries,6,103890,0.0046298970064491286,0.42363883830394516
test,heldout_input_entries,7,103890,0.0030898065261334103,0.2827194742111568
test,heldout_input_entries,8,103890,0.006015978438733275,0.5504662659874547
test,heldout_input_entries,9,103890,0.0030031764366156514,0.27479275998093744
test,heldout_input_entries,10,103889,0.0021850244010434214,0.1999312722582006
train,all_observed,1,2393900,0.053042315886210785,4.531464290822088
train,all_observed,2,2393899,0.02241782130323794,1.9151795131189253
train,all_observed,3,2393900,0.014267930991269476,1.2189252808936921
train,all_observed,4,2393899,0.009728480608413304,0.8311149644286262
train,all_observed,5,2393900,0.0068177451021345925,0.5824475790334334
train,all_observed,6,2393899,0.004662686270389854,0.398338495983182
train,all_observed,7,2393900,0.0029880111951209325,0.255269133804678
train,all_observed,8,2393899,0.001994653909793187,0.17040551140653057
train,all_observed,9,2393900,0.0006495676511132462,0.05549328995753869
train,all_observed,10,2393899,0.00048414740972781226,0.04136125397281024
train,heldout_input_entries,1,478780,0.04687330297840344,4.004424337146423
train,heldout_input_entries,2,478780,0.020362170516730022,1.7395567624472188
train,heldout_input_entries,3,478780,0.013329713020594009,1.138768207809842
train,heldout_input_entries,4,478780,0.009148251806675299,0.7815425807281585
train,heldout_input_entries,5,478780,0.006846568361251514,0.5849078948919871
train,heldout_input_entries,6,478780,0.004904131333806759,0.41896392227162477
train,heldout_input_entries,7,478780,0.003655123438740131,0.31226016353294006
train,heldout_input_entries,8,478780,0.006257571327123105,0.5345893999683934
train,heldout_input_entries,9,478780,0.0032520155394962194,0.2778223283547358
train,heldout_input_entries,10,478779,0.002424918386144756,0.20716274689551728
val,all_observed,1,498155,0.04796499081611145,4.020049199069002
val,all_observed,2,498154,0.02075261866812271,1.7393216726593876
val,all_observed,3,498154,0.013194714887364149,1.1058774767256871
val,all_observed,4,498155,0.009503066314701247,0.7964724578719619
val,all_observed,5,498154,0.006943635903756669,0.5819610820012402
val,all_observed,6,498154,0.005209232486339565,0.43659699560370574
val,all_observed,7,498155,0.0036494665315012394,0.3058696511219321
val,all_observed,8,498154,0.006435760828980596,0.5393949779982585
val,all_observed,9,498154,0.003187769244049029,0.2671738069436165
val,all_observed,10,498154,0.002473130798909574,0.20727841949278053
val,heldout_input_entries,1,99631,0.048187813030080996,4.038857880404975
val,heldout_input_entries,2,99631,0.020766628860495226,1.7405534169043726
val,heldout_input_entries,3,99631,0.013289036544850499,1.1138195862645672
val,heldout_input_entries,4,99631,0.009354518172054882,0.7840482283977165
val,heldout_input_entries,5,99630,0.006775067750677507,0.567851787712796
val,heldout_input_entries,6,99631,0.005329666469271612,0.4467055893553514
val,heldout_input_entries,7,99631,0.003603296162840883,0.30200999355663116
val,heldout_input_entries,8,99631,0.006222962732482862,0.5215771476465496
val,heldout_input_entries,9,99631,0.002950888779596712,0.24732851840013803
val,heldout_input_entries,10,99630,0.002830472749171936,0.2372358579777903
