[Step03] device=mps; loading Step2
[Step03] cells=985; sites=80,891; observed=34,115,033; significant=396,423
[real_labels] epoch=001 train_loss=7.8399 val_hidden_nll=4.4636 val_auprc=0.0395 val_lift=3.313
[real_labels] epoch=002 train_loss=3.1705 val_hidden_nll=1.7950 val_auprc=0.0492 val_lift=4.126
[real_labels] epoch=003 train_loss=1.5585 val_hidden_nll=1.1156 val_auprc=0.0529 val_lift=4.431
[real_labels] epoch=004 train_loss=1.1518 val_hidden_nll=0.9346 val_auprc=0.0535 val_lift=4.480
[real_labels] epoch=005 train_loss=1.0344 val_hidden_nll=0.8726 val_auprc=0.0534 val_lift=4.480
[real_labels] epoch=006 train_loss=0.9901 val_hidden_nll=0.8452 val_auprc=0.0535 val_lift=4.486
[real_labels] epoch=007 train_loss=0.9676 val_hidden_nll=0.8304 val_auprc=0.0534 val_lift=4.477
[real_labels] epoch=008 train_loss=0.9557 val_hidden_nll=0.8212 val_auprc=0.0533 val_lift=4.470
[real_labels] epoch=009 train_loss=0.9473 val_hidden_nll=0.8150 val_auprc=0.0530 val_lift=4.441
[real_labels] epoch=010 train_loss=0.9418 val_hidden_nll=0.8104 val_auprc=0.0529 val_lift=4.438
[real_labels] epoch=011 train_loss=0.9376 val_hidden_nll=0.8071 val_auprc=0.0526 val_lift=4.410
[real_labels] epoch=012 train_loss=0.9340 val_hidden_nll=0.8045 val_auprc=0.0530 val_lift=4.446
[real_labels] epoch=013 train_loss=0.9318 val_hidden_nll=0.8025 val_auprc=0.0529 val_lift=4.433
[real_labels] epoch=014 train_loss=0.9295 val_hidden_nll=0.8010 val_auprc=0.0530 val_lift=4.438
[real_labels] epoch=015 train_loss=0.9284 val_hidden_nll=0.7998 val_auprc=0.0527 val_lift=4.419
[real_labels] epoch=016 train_loss=0.9269 val_hidden_nll=0.7989 val_auprc=0.0526 val_lift=4.406
[real_labels] epoch=017 train_loss=0.9263 val_hidden_nll=0.7980 val_auprc=0.0522 val_lift=4.378
[real_labels] epoch=018 train_loss=0.9247 val_hidden_nll=0.7974 val_auprc=0.0526 val_lift=4.409
[real_labels] epoch=019 train_loss=0.9243 val_hidden_nll=0.7969 val_auprc=0.0525 val_lift=4.403
[real_labels] epoch=020 train_loss=0.9234 val_hidden_nll=0.7965 val_auprc=0.0528 val_lift=4.422
[real_labels] epoch=021 train_loss=0.9231 val_hidden_nll=0.7962 val_auprc=0.0526 val_lift=4.409
[real_labels] epoch=022 train_loss=0.9231 val_hidden_nll=0.7959 val_auprc=0.0523 val_lift=4.384
[real_labels] epoch=023 train_loss=0.9229 val_hidden_nll=0.7956 val_auprc=0.0526 val_lift=4.413
