split,scope,grouping,pred_probability_bin,n_entries,mean_pred,mean_obs,residual_pred_minus_obs
test,all_observed,step3_calibration_decile,decile_0,519450,0.0001300958392675,0.0022235056309558,-0.0020934097916883
test,all_observed,step3_calibration_decile,decile_1,519449,0.0001789320813259,0.0028260714718865,-0.0026471393905605997
test,all_observed,step3_calibration_decile,decile_2,519450,0.0640302374958992,0.0058869958610068,0.0581432416348924
test,all_observed,step3_calibration_decile,decile_3,519449,0.1946623027324676,0.0032880995054374,0.1913742032270302
test,all_observed,step3_calibration_decile,decile_4,519450,0.284211665391922,0.00458561940514,0.279626045986782
test,all_observed,step3_calibration_decile,decile_5,519449,0.3710486590862274,0.0063220835924219,0.3647265754938055
test,all_observed,step3_calibration_decile,decile_6,519449,0.4620653390884399,0.0082183236467872,0.4538470154416527
test,all_observed,step3_calibration_decile,decile_7,519450,0.5595113039016724,0.0121898161516989,0.5473214877499735
test,all_observed,step3_calibration_decile,decile_8,519449,0.6685761213302612,0.0191799387427832,0.649396182587478
test,all_observed,step3_calibration_decile,decile_9,519450,0.811985433101654,0.0445721436134372,0.7674132894882169
test,heldout_input_entries,step3_calibration_decile,decile_0,103890,0.0001302412565564,0.0021850033689479,-0.0020547621123915
test,heldout_input_entries,step3_calibration_decile,decile_1,103890,0.0001790563837857,0.0030031764366156,-0.0028241200528299
test,heldout_input_entries,step3_calibration_decile,decile_2,103890,0.0639386400580406,0.0060159784387332,0.057922661619307404
test,heldout_input_entries,step3_calibration_decile,decile_3,103890,0.1947222352027893,0.0030898065261334,0.19163242867665592
test,heldout_input_entries,step3_calibration_decile,decile_4,103890,0.2839868366718292,0.0046298970064491,0.2793569396653801
test,heldout_input_entries,step3_calibration_decile,decile_5,103889,0.3708447515964508,0.0065069449123583,0.3643378066840925
test,heldout_input_entries,step3_calibration_decile,decile_6,103890,0.4618943929672241,0.0081432284146693,0.4537511645525548
test,heldout_input_entries,step3_calibration_decile,decile_7,103890,0.5594677925109863,0.0121667147944941,0.5473010777164923
test,heldout_input_entries,step3_calibration_decile,decile_8,103890,0.6685804724693298,0.0192992588314563,0.6492812136378735
test,heldout_input_entries,step3_calibration_decile,decile_9,103890,0.8120054006576538,0.0442487246125709,0.7677566760450829
