cell_id,n_entries,n_significant,n_detected_entries,mean_event_prob,median_event_prob,event_prob_std,mean_event_prob_residual,total_Y,total_N,n_sites,mean_posterior_fg,burden_rate,detected_entry_rate,m6a_freq_cell,cell_rank
SRR15268441,38242,2896,11826,0.3411927768349758,0.32792475,0.27099240490319243,0.321815452477681,134505.0,3870904,38242,,0.07572825689033,0.30924114847549816,0.03474769717874688,1.0
SRR15269866,36238,2462,11031,0.33883847310983567,0.323661655,0.26964406304208377,0.31960381727590603,87564.0,2992753,36238,,0.06793973177327667,0.3044042165682433,0.029258679216093007,2.0
SRR15268433,35880,2346,11211,0.3455398469138908,0.33286311,0.27028465352376857,0.3260491998902094,71081.0,2382130,35880,,0.06538461538461539,0.31245819397993313,0.029839261501261476,3.0
SRR15269361,43439,2814,13539,0.3426753695340196,0.3310063,0.272388770603828,0.3234761747647923,93109.0,4133069,43439,,0.06478049678860011,0.3116784456364097,0.02252781165763262,4.0
SRR15269685,35683,2281,11004,0.3427078431418557,0.3273366,0.26906016139274797,0.323101838601708,72039.0,2859300,35683,,0.06392399742174144,0.30838214275705517,0.025194628055817857,5.0
SRR15269066,31629,1821,9910,0.34541112037966065,0.33135384,0.2707291825608435,0.3251800223915042,66290.0,2077773,31629,,0.057573745613203074,0.3133200543804736,0.031904351437813463,6.0
SRR15270032,30349,1731,9432,0.34349833057362816,0.33031464,0.2706165744701911,0.3234457470609238,107355.0,3274923,30349,,0.05703647566641405,0.31078453985304294,0.03278092339880968,7.0
SRR15268430,31338,1759,9574,0.34155891813264994,0.32505235,0.26903615343636633,0.32192131866306256,56106.0,1904792,31338,,0.05612993809432638,0.30550769034399133,0.029455184608083194,8.0
SRR15268448,27127,1489,8233,0.34283730811291385,0.32469642,0.2674652268492625,0.3230914650230276,34978.0,1303784,27127,,0.054889962030449366,0.3034983595679581,0.026828063544268067,9.0
SRR15269053,30557,1657,9551,0.3447891208025141,0.33130604,0.2701208919343305,0.3247006323676521,75379.0,2377487,30557,,0.054226527473246716,0.3125634060935301,0.03170532583353768,10.0
SRR15269096,39482,2060,12268,0.3419660239077712,0.327292575,0.2725989148682643,0.3226475815455567,66621.0,2918407,39482,,0.0521756749911352,0.31072387417050806,0.022827864653559286,11.0
SRR15269709,8663,397,3053,0.3776755907411344,0.36646038,0.27049799484212916,0.35442163018975464,176069.0,4868438,8663,,0.04582708068798338,0.3524183308322752,0.03616539842964006,12.0
SRR15269843,10259,455,3423,0.3616332576174992,0.3453718,0.2700008900964748,0.3401115530968885,90886.0,3574115,10259,,0.04435130129642265,0.33365825129154886,0.02542895234204831,13.0
SRR15269631,12764,475,4218,0.35878721963988774,0.345946525,0.27453707661451665,0.33704063444656046,172087.0,5676549,12764,,0.03721403948605453,0.3304606706361642,0.03031542579831514,14.0
SRR15269752,17845,358,5807,0.3556625967190759,0.34201348,0.2705946537023654,0.33416210870414254,205186.0,4162732,17845,,0.020061641916503222,0.3254132810311012,0.04929118665338052,15.0
SRR15269649,24940,356,7693,0.3399411804923199,0.32672299000000005,0.2725854721186308,0.32049168254289384,154508.0,4278178,24940,,0.014274258219727345,0.3084603047313553,0.036115374348612894,16.0
SRR15269844,15612,214,5172,0.3604659215901564,0.348542705,0.2694377181355173,0.3388488409897132,70897.0,2402408,15612,,0.013707404560594414,0.3312836279784781,0.02951080748981855,17.0
SRR15269345,17429,209,5632,0.35512973376535223,0.34113845,0.26961634468011947,0.3336756527045569,118853.0,4721413,17429,,0.011991508405531011,0.3231395949279936,0.025173184383573306,18.0
SRR15269904,15750,188,5109,0.35552553177831303,0.34152837999999996,0.271098398957837,0.3342941431159494,68899.0,2674332,15750,,0.011936507936507936,0.3243809523809524,0.0257630690579928,19.0
SRR15269910,17079,200,5394,0.3516761274429844,0.33580887,0.2692225654175432,0.3306681365544625,132405.0,5035984,17079,,0.01171028748755782,0.3158264535394344,0.026291783293989814,20.0
SRR15269590,32751,377,9931,0.33664093921430577,0.3190622,0.27066275878252,0.3169931898828718,323819.0,10161547,32751,,0.01151109889774358,0.30322738237000396,0.03186709661432457,21.0
SRR15269908,19652,224,6045,0.3444230344840972,0.32681862500000003,0.27015722829303696,0.3237700197383518,110696.0,4448688,19652,,0.011398330958681051,0.30760227966619175,0.0248828418625896,22.0
SRR15269679,30803,342,9149,0.33534959645838763,0.31731328,0.26860300853423147,0.3159874264599559,279120.0,7245375,30803,,0.011102814660909652,0.2970165243645099,0.03852388592722944,23.0
SRR15269198,30342,318,9371,0.34100124682758837,0.32480475,0.2720188326829307,0.32151017500318574,121101.0,3846598,30342,,0.010480522048645443,0.3088458242699888,0.031482624386535846,24.0
