dataset,score,external_measure,n_overlap,pearson,spearman,mean_score,mean_external
GLORI,event_prob_mean,external_ratio,19932,-0.13394111932120395,-0.11872204690213849,0.630102774925828,0.38690762788865773
GLORI,event_prob_mean,external_mean_prob,19932,-0.14477508923138868,-0.15689160952359774,0.630102774925828,0.8763226684830969
GLORI,event_prob_max,external_ratio,19932,-0.13398503410486967,-0.11879993927428266,0.6312191636443688,0.38690762788865773
GLORI,event_prob_max,external_mean_prob,19932,-0.14451326007459836,-0.15671656093746558,0.6312191636443688,0.8763226684830969
GLORI,event_prob_residual,external_ratio,19932,-0.1203199205611241,-0.10481766181523926,0.5856450715586998,0.38690762788865773
GLORI,event_prob_residual,external_mean_prob,19932,-0.13612427651770245,-0.1498264650306918,0.5856450715586998,0.8763226684830969
GLORI,event_prob_max_residual,external_ratio,19932,-0.12036138868323921,-0.10489743173443278,0.5867614602772406,0.38690762788865773
GLORI,event_prob_max_residual,external_mean_prob,19932,-0.13580934115976895,-0.14957703138378192,0.5867614602772406,0.8763226684830969
eTAM,event_prob_mean,external_ratio,19144,-0.10894183779866726,-0.09717130624232441,0.6312056253480942,0.43374349469664913
eTAM,event_prob_mean,external_mean_prob,19144,-0.08300289365620088,-0.12894663485876573,0.6312056253480942,0.9079891518323743
eTAM,event_prob_max,external_ratio,19144,-0.10901959204693583,-0.09728577721905367,0.632326284351671,0.43374349469664913
eTAM,event_prob_max,external_mean_prob,19144,-0.08275989408701069,-0.12878906701609563,0.632326284351671,0.9079891518323743
eTAM,event_prob_residual,external_ratio,19144,-0.09425249873780157,-0.08132008009126686,0.5865702901963235,0.43374349469664913
eTAM,event_prob_residual,external_mean_prob,19144,-0.07848159025156974,-0.12444690220827563,0.5865702901963235,0.9079891518323743
eTAM,event_prob_max_residual,external_ratio,19144,-0.09433661202989162,-0.08143536553585272,0.5876909491999002,0.43374349469664913
eTAM,event_prob_max_residual,external_mean_prob,19144,-0.07819349403966368,-0.1242120586524749,0.5876909491999002,0.9079891518323743
