reference_site_source,coverage_bin,n_entries,mean_pred,mean_obs,mean_N,significant_rate,residual_pred_minus_obs
Exon_DRACH,100-200,690453,0.3378981115578499,0.018666896638389694,142.49486206881568,0.009344589711392376,0.31923121491946016
Exon_DRACH,20-50,2258418,0.31079062752056785,0.0168505908666283,22.315540790057465,0.011703325070912471,0.29394003665393953
Exon_DRACH,200+,896060,0.4082131115531183,0.023871792388619698,591.1314309309645,0.009036225252773252,0.3843413191644986
Exon_DRACH,50-100,838830,0.32004038392352513,0.016798353223595606,72.17455384285255,0.00952517196571415,0.3032420306999295
GLORI_DRACH_NonExon,100-200,3135,0.34912782608772314,0.01843253337183685,139.17033492822966,0.010526315789473684,0.33069529271588627
GLORI_DRACH_NonExon,20-50,25302,0.31035481441255874,0.015087631906592722,20.721405422496247,0.012765789265670699,0.295267182505966
GLORI_DRACH_NonExon,200+,2805,0.40177167383082746,0.02447310531346493,443.9065953654189,0.009625668449197862,0.37729856851736254
GLORI_DRACH_NonExon,50-100,5785,0.33619324818264873,0.01768539048861558,70.504753673293,0.011408815903197925,0.31850785769403317
GLORI_NonDRACH,100-200,72715,0.413907863135091,0.02677699522710074,142.65135116550917,0.01387609159045589,0.38713086790799023
GLORI_NonDRACH,20-50,220972,0.38176646870540787,0.023553201977739083,22.87663595387651,0.01827380844631899,0.3582132667276688
GLORI_NonDRACH,200+,91930,0.4750352733531502,0.032413022625567035,564.6817252257152,0.011682802132057,0.44262225072758316
GLORI_NonDRACH,50-100,88090,0.39800803544635527,0.023621045116598984,72.31944602111477,0.013985696446815757,0.3743869903297563
