threshold,detected_sites,precision_vs_step2_sig,recall_vs_step2_sig,f1_vs_step2_sig,tp,fp,fn,tn
0.05,53877,0.43417413738701116,0.8369829683698297,0.5717567980446074,23392,30485,4556,21870
0.1,53877,0.43417413738701116,0.8369829683698297,0.5717567980446074,23392,30485,4556,21870
0.15,52618,0.43829107909840737,0.8251753256046944,0.572499565573567,23062,29556,4886,22799
0.2,49484,0.4490744483065233,0.7951195076570774,0.5739745841512552,22222,27262,5726,25093
0.25,46883,0.45858840091291087,0.7692858165163876,0.5746281621253224,21500,25383,6448,26972
0.3,43422,0.469669752659942,0.7297123228853585,0.571500630517024,20394,23028,7554,29327
0.35,40046,0.4806722269390201,0.6887433805639044,0.5661970173838867,19249,20797,8699,31558
0.4,36437,0.4921371133737684,0.6416201517103192,0.5570241515881028,17932,18505,10016,33850
0.45,32793,0.5044064282011405,0.5918491484184915,0.5446403582423733,16541,16252,11407,36103
0.5,29086,0.5161933576290999,0.537211965078002,0.5264929691061472,15014,14072,12934,38283
